Respondent ID,Respondent's gender,Respondent's age,Respondent's marital status,What province does the respondent live?,Name of city / town / growth point,Name of area/ suburb/village,Can you read and write?,What is your highest level of education?,Are you employed?,Mining,Retail,Civil service,Transport,Manufacturing,Tourism,NGOs,Local Government,Vending,Cross border trading,Tuck shop owner,Stationary shop owner,Flea market / bale shop,Canteen shop,Hair-dresser,Beads and ware making,Other (please specify),What best describes ﻿your accommodation agreement?,How can you describe your type of accommodation?,Which bracket can you place your monthly income given your earnings in the past 3 months?,"Have you ever been a part of a policy formulation process? (Eg. National budget consultative meeting, Parliamentary Portfolio Committee Public Outreach)",Budget approval,Discussions on performance of local authority,Discussions on performance of central government,Consultations on service delivery,COVID-19 national response,Consultations on the Transitional Stabilisation Program,Consultations on Vision 2030,Consultations on the National Development Strategy 1,Other (please specify),Do you think there is adequate scope / room for you to make an input towards public policy processes?,Budget approval,Consultations on improvement of service delivery,Discussions on performance of local authorities,Discussions on performance of central government,COVID-19 national response,Development of national processes,Other,Do you know about the National Development Strategy 1: 2021-2025 (NDS1)?,None of the above,Economic Growth and stability,"Transport, Infrastructure and Utilities",Governance,Moving the Economy up the Value Chain and Structural Transformation,Housing Delivery,Devolution,Health and Well-being,Human Capital Development,"Environmental Protection,Climate Resilience and Natural Resource Management",Food Security and Nutrition,Image Building and International Engagement and Re-engagement,Social Protection,Digital Economy,"Youth, Sport and Culture",All of the mentioned priority areas below,Other (please specify),Did you participate or make an input into the content of the NDS1?,Do you know about Vision 2030?,Governance Pillar,Macro-Economic Stability and Financial Re-engagement,Inclusive Growth,Infrastructural Development,Social Development,"Micro, Small and Medium Enterprises",Youth Development,Gender Equality and Women Empowerment,"Sport, Recreation, Arts and Culture",Did you participate or make an input into the content of Vision 2030?,Did you vote in the last general elections,Do you know your current Ward Councillor?,Clean water provision,Garbage disposal,Housing,Road network maintenance,Health care,Employment creation,Electricity,Education,Regular supply of clean water,Garbage disposal,Affordable Housing / Stands,Regular road network maintenance,Functioning and well equipped clinics,Jobs,Improved provision of Education,Vocational training opportunities,Street light  installation and maintenance,Sewer reticulation,Other (please specify),Incompetence by office holders,Corruption,Meddling by central government,Lack of appropriate oversight by Councillors,Lack of appropriate oversight by residents,Inadequate resources,Other (please specify),How would you rank overall local council performance since election so far?,Do you know your current Member of Parliament,Do you know your current Senator?,How would you rank overall Government performance since elections?,Provision / Creation of jobs - Rating,Stability of prices - Rating,Health care delivery - Rating,Education delivery - Rating,Nation building - Rating,Infrastructure development - Rating,Does government have adequate resources to implement or address these issues?,Limited financial resources,Corruption,Sanctions,Lack of political will,Incompetence,Ineffective leadership,Lack of integrity,External political pressures,Other (please specify),Stabilising prices,Fixing cash shortages,Creating employment,Dealing with corruption,Improved infrastructure,Re-engagement with the international community,Working together with other political parties,Resuscitating industry,Improved health service delivery,Improved education provision,Ensuring food security,Affordable housing and stands,Improved local government service provision,Other (please specify),Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,Many of us have our own homes,We are food secure (3 meals a day),Corrupt elements are put in prison,Industries are open and exporting,Our schools are working,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",Political parties are not insulting each other but are working together.,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,Other (please specify),Are there any other issues you feel should be addressed?
13106629447,Male,46 - 55,Married,Masvingo,Masvingo Urban ,Zimre park ,Yes,Secondary school,Yes,,,Civil service,,,,,,,,,,,,,,,Own- Fully paid for,Full house,US$201-$500,Yes,,,,,,,,,Consultations on HIV/AIDS ,Yes,,,,,,,Other,No,,,,,,,,,,,,,,,,,,,Yes,,,,,Social Development,,,Gender Equality and Women Empowerment,,No,Yes,Yes,Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,Regular road network maintenance,Functioning and well equipped clinics,,,,,,,,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Low,Medium,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,External political pressures,,Stabilising prices,,,Dealing with corruption,,,,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13106623997,Female,36 - 45,Married,Masvingo,Masvingo Urban ,Zimre park ,Yes,Tertiary education,Yes,,Retail,,,,,,,,,,,,,,,,Own- Fully paid for,Full house,US$201-$500,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,,,No,Yes,Yes,Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,Sewer reticulation,,,Corruption,,,,Inadequate resources,,Medium,Yes,Yes,Medium,Low,Low,Medium,Medium,Low,Low,Yes,,Corruption,,Lack of political will,,,,,,,Fixing cash shortages,Creating employment,,,,,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,,,,,No
13105889035,Male,26 - 35,Never Married,Masvingo,Masvingo Urban ,Dhiyo ,Yes,Secondary school,Yes,,,,,,,,,,,,,,,,,Shopkeeper ,Company owned,Room(s) in a house,US$51-$100,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,No,Decreased (bad),Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Regular supply of clean water,Garbage disposal,,,Functioning and well equipped clinics,,,,,,,,Corruption,,Lack of appropriate oversight by Councillors,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,Stabilising prices,,Creating employment,,,,,Resuscitating industry,,,,,,,Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,,,,Industries are open and exporting,,,,,,No
13105883070,Male,36 - 45,Married,Masvingo,Mashava Masvingo ,Leenox mine,Yes,Tertiary education,Yes,Mining,,,,,,,,,,,,,,,,,Company owned,Full house,US$201-$500,No,,,,,,,,,,No,,,,,,,,Yes,,Economic Growth and stability,,,,,,,,"Environmental Protection,Climate Resilience and Natural Resource Management",,Image Building and International Engagement and Re-engagement,,,,,,No,Yes,,,,Infrastructural Development,,,,,,No,Yes,Yes,Decreased (bad),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),,,,Regular road network maintenance,Functioning and well equipped clinics,,,,,,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,,Dealing with corruption,Improved infrastructure,Re-engagement with the international community,,,,,,,,,,,Many of us have our own homes,,Corrupt elements are put in prison,,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
13105877164,Female,18 - 25,Married,Masvingo,Mashava Masvingo ,Leenox mine,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Company owned,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Gender Equality and Women Empowerment,,No,Yes,No,Remained the same (fair),Decreased (bad),Remained the same (fair),Decreased (bad),Remained the same (fair),Decreased (bad),Decreased (bad),Decreased (bad),,,,Regular road network maintenance,Functioning and well equipped clinics,,,,Street light  installation and maintenance,,,,Corruption,,,,,,Low,No,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,Stabilising prices,Fixing cash shortages,,,,,,,,,,,,,,,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13105869430,Male,26 - 35,Married,Masvingo,Mashava Masvingo ,Mashava ,Yes,Secondary school,Yes,,,,Transport,,,,,,,,,,,,,,Rental,Room(s) in a house,US$101-$200,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Decreased (bad),Decreased (bad),Decreased (bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,Stabilising prices,,Creating employment,,,,,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,,,,,No
13105862993,Female,26 - 35,Never Married,Masvingo,Mashava Masvingo ,Bere,Yes,Tertiary education,Yes,Mining,,,,,,,,,,,,,,,,,Own- Fully paid for,Full house,US$201-$500,No,,,,,,,,,,Yes,,,,,,,Other,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,,,No,Yes,Yes,Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,Regular road network maintenance,,,,,,Sewer reticulation,,,,,Lack of appropriate oversight by Councillors,,Inadequate resources,,Low,Yes,Yes,Medium,Medium,Low,Medium,Medium,Medium,Medium,Yes,,,Sanctions,,,,,,,Stabilising prices,Fixing cash shortages,Creating employment,,,,,,,,,,,,,Stable and affordable prices of goods,,,,,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
13105819617,Female,26 - 35,Never Married,Masvingo,Mashava Masvingo ,Bere ,Yes,Tertiary education,Yes,Mining,,,,,,,,,,,,,,,,,Own- Fully paid for,Full house,US$201-$500,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,,,No,Yes,Yes,Decreased (bad),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Regular supply of clean water,Garbage disposal,,,,,,,,Sewer reticulation,,,,,Lack of appropriate oversight by Councillors,,Inadequate resources,,Low,Yes,Yes,Medium,Medium,Low,Medium,Low,Medium,Medium,Yes,,Corruption,Sanctions,,,Ineffective leadership,,,,Stabilising prices,,,Dealing with corruption,,,,Resuscitating industry,,,,,,,,,,,Corrupt elements are put in prison,,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
13105811964,Male,18 - 25,Married,Masvingo,Mashava Masvingo ,Bere,Yes,Tertiary education,Yes,,,,,,,,,,Cross border trading,,,,,,,,Own- Fully paid for,Full house,US$51-$100,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,,,,,No,Yes,Yes,Decreased (bad),Non-existent (very bad),Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,Stabilising prices,Fixing cash shortages,,,,,,,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,,,,,No
13105806392,Female,18 - 25,Never Married,Masvingo,Mashava Masvingo ,Gatesmine,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,No,Yes,Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Regular supply of clean water,Garbage disposal,,,Functioning and well equipped clinics,,,,,,,,Corruption,,,,,,Low,No,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,,,,,Stabilising prices,Fixing cash shortages,Creating employment,,,,,,,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,,,,,No
