"","province","n","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_score","availability_normalise","availability_percentage"
"1","Bulawayo",128,0.34375,0.795454545454545,0.0845070422535211,0.1796875,0.0234375,0.75,0.833333333333333,0.4375,0.5078125,3.9554824210414,0.439498046782378,43.95
"2","Harare",155,0.438709677419355,0.764705882352941,0.120481927710843,0.174193548387097,0.0967741935483871,0.703225806451613,0.768518518518518,0.412903225806452,0.300653594771242,3.78016637496645,0.420018486107383,42
"3","Manicaland",151,0.384105960264901,0.482758620689655,0.0972222222222222,0.19205298013245,0.0860927152317881,0.653333333333333,0.551020408163265,0.52317880794702,0.470198675496689,3.43996372348132,0.382218191497925,38.22
"4","Mashonaland Central",109,0.275229357798165,0.482758620689655,0.025,0.146788990825688,0.055045871559633,0.411214953271028,0.738095238095238,0.688073394495413,0.233333333333333,3.05553976006815,0.33950441778535,33.95
"5","Mashonaland East",132,0.431818181818182,0.631578947368421,0.303030303030303,0.151515151515152,0.121212121212121,0.825757575757576,0.559633027522936,0.704545454545455,0.206106870229008,3.93519763299915,0.43724418144435,43.72
"6","Mashonaland West",162,0.339506172839506,0.944444444444444,0.0588235294117647,0.314814814814815,0.0555555555555556,0.604938271604938,0.857142857142857,0.407407407407407,0.444444444444444,4.02707749766573,0.447453055296193,44.75
"7","Masvingo",154,0.175324675324675,0.666666666666667,0.0526315789473684,0.246753246753247,0.012987012987013,0.37012987012987,0.614035087719298,0.818181818181818,0.177631578947368,3.13434153565733,0.348260170628592,34.83
"8","Matabeleland North",142,0.373239436619718,0.566037735849057,0,0.140845070422535,0.112676056338028,0.845070422535211,0.858333333333333,0.161971830985915,0.312056737588652,3.37023062367245,0.374470069296939,37.45
"9","Matabeleland South",139,0.568345323741007,0.506329113924051,0.0892857142857143,0.258992805755396,0.122302158273381,0.39568345323741,0.636363636363636,0.431654676258993,0.460431654676259,3.46938853651585,0.385487615168427,38.55
"10","Midlands",126,0.246031746031746,0.709677419354839,0.0277777777777778,0.0952380952380952,0.0555555555555556,0.166666666666667,0.666666666666667,0.380952380952381,0.404761904761905,2.75332821300563,0.305925357000626,30.59
