"","province","n","registered_value","zimra_value","compliance_score","compliance_normalise","compliance_percentage"
"1","Bulawayo",128,0.4140625,0.390625,0.8046875,0.40234375,40.23
"2","Harare",155,0.561290322580645,0.529032258064516,1.09032258064516,0.545161290322581,54.52
"3","Manicaland",151,0.629139072847682,0.503311258278146,1.13245033112583,0.566225165562914,56.62
"4","Mashonaland Central",109,0.458715596330275,0.165137614678899,0.623853211009174,0.311926605504587,31.19
"5","Mashonaland East",132,0.378787878787879,0.371212121212121,0.75,0.375,37.5
"6","Mashonaland West",162,0.376543209876543,0.339506172839506,0.716049382716049,0.358024691358025,35.8
"7","Masvingo",154,0.233766233766234,0.194805194805195,0.428571428571429,0.214285714285714,21.43
"8","Matabeleland North",142,0.514084507042254,0.309859154929577,0.823943661971831,0.411971830985915,41.2
"9","Matabeleland South",139,0.697841726618705,0.597122302158273,1.29496402877698,0.647482014388489,64.75
"10","Midlands",126,0.523809523809524,0.277777777777778,0.801587301587302,0.400793650793651,40.08
