"","X","province","formality_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Formal",50,1,50,0.154433890577508,0.04375,0.038764880952381,0.188091016548463,0.188687943262411,0.165721040189125,0.1,0.077676460655184,0.132308763931104,0.42,0.275,0.476190476190476,39.04,1,1,1,100,1,0.8,0.775,0.214285714285714,0.4,0.06,0.84,0.785714285714286,0.6,0.82,58.83,1,0.44,0.48,0.95,0.333333333333333,0.36,0.225,0.2,0.275,1,0,0.333333333333333,0.4,41.64,0.609603174603175,0.390396825396825,1,0,0.588333333333333,0.411666666666667,0.416388888888889,0.583611111111111,2.6143253968254,0.653581349206349,65.36
"2",2,"Bulawayo","Informal",78,2,78,0.330074679842122,0.137137137137137,0.175448717948718,0.18020298809543,0.124170478170478,0.05855694692904,0.0301351351351351,0.147794871794872,0.0955982905982906,0.591168091168091,0,0.452830188679245,34.8,2,0.0384615384615385,0,1.92,2,0.0512820512820513,1,0,0.0384615384615385,0,0.692307692307692,0.87037037037037,0.333333333333333,0.307692307692308,36.59,2,0.256410256410256,0.307692307692308,1,0,0.0769230769230769,0.333333333333333,0.333333333333333,0,0.944444444444444,0,0.148148148148148,0.448717948717949,32.08,0.652000573384221,0.347999426615779,0.0192307692307692,0.980769230769231,0.36593858816081,0.63406141183919,0.320750237416904,0.679249762583096,1.3579201681927,0.339480042048176,33.95
"3",3,"Harare","Formal",82,3,82,0.18429884760001,0.0731800766283525,0.106356048166393,0.215528288345005,0.0910044544827154,0.557830831608006,0.334848484848485,0.0279790660225443,0.0231366459627329,0.541596765174001,0.606060606060606,0.733333333333333,62.7,3,1,1,100,3,0.804878048780488,0.772727272727273,0.177777777777778,0.304878048780488,0.146341463414634,0.731707317073171,0.711864406779661,0.439024390243902,0.4375,50.3,3,0.259259259259259,0.25609756097561,0.96969696969697,0.25,0.280487804878049,0.2,0.24,0.6,0.983333333333333,0,0.1,0.219512195121951,36.32,0.373003098477353,0.626996901522647,1,0,0.502966525064155,0.497033474935845,0.363198926938764,0.636801073061236,2.23916855048027,0.559792137620068,55.98
"4",4,"Harare","Informal",73,4,73,0.208282176874444,0.0908703857129706,0.304266777133389,0.205150452295903,0.0617002012072435,0.277983474618201,0.0395091135045568,0.0518191501952894,0.0370659249615339,0.65709030948757,0.5,0.653061224489796,60.34,4,0.0684931506849315,0,3.42,4,0.0273972602739726,0.5,0.0526315789473684,0.0273972602739726,0.0410958904109589,0.671232876712329,0.836734693877551,0.383561643835616,0.150684931506849,29.9,4,0.0821917808219178,0.0958904109589041,1,0.5,0.0547945205479452,0,0.5,0.25,0.979591836734694,0.0408163265306122,0.0408163265306122,0.164383561643836,30.9,0.396616155340878,0.603383844659122,0.0342465753424658,0.965753424657534,0.298970681759846,0.701029318240154,0.30904039698071,0.69095960301929,1.0388738094239,0.259718452355975,25.97
"5",5,"Manicaland","Formal",76,5,76,0.122391057872424,0.0974378881987578,0.0742383910085773,0.233568306549673,0.175801045055703,0.234504913076342,0.161684782608696,0.139143580137369,0.134363600512669,0.470852130325815,0.509433962264151,0.830508474576271,60.36,5,1,1,100,5,0.697368421052632,0.471698113207547,0.145833333333333,0.355263157894737,0.171052631578947,0.786666666666667,0.559322033898305,0.605263157894737,0.526315789473684,47.99,5,0.413333333333333,0.355263157894737,0.924528301886792,0.428571428571429,0.25,0.37037037037037,0.425925925925926,0.407407407407407,0.949152542372881,0.120689655172414,0.23728813559322,0.578947368421053,45.51,0.396401810944588,0.603598189055412,1,0,0.479864811666732,0.520135188333268,0.45512313557913,0.54487686442087,2.33138975819045,0.582847439547613,58.28
"6",6,"Manicaland","Informal",75,6,75,0.158265068103665,0.0906947319990798,0.221753594826853,0.334284471400652,0.147517437628218,0.136677410690304,0.0336870255348516,0.140059910049095,0.0737595507529992,0.654714714714715,0.8,0.631578947368421,69.54,6,0.253333333333333,0,12.67,6,0.0666666666666667,0.6,0,0.0266666666666667,0,0.52,0.538461538461538,0.44,0.413333333333333,28.95,6,0.226666666666667,0.306666666666667,0.6,0,0.0666666666666667,0,0,0.5,0.923076923076923,0.102564102564103,0.0526315789473684,0.32,25.82,0.304568779305621,0.695431220694379,0.126666666666667,0.873333333333333,0.289458689458689,0.710541310541311,0.258189383715699,0.741810616284301,0.978883519146676,0.244720879786669,24.47
"7",7,"Mashonaland Central","Formal",18,7,18,0.182222222222222,0,0,0.25,0.05,0.166666666666667,0,0.25,0.04,0.251994130985728,0.25,0.454545454545455,31.88,7,1,1,100,7,0.888888888888889,0.333333333333333,0.125,0.555555555555556,0.222222222222222,0.75,0.818181818181818,0.888888888888889,0.642857142857143,58.05,7,0.166666666666667,0.166666666666667,0.9375,1,0.444444444444444,0.45,0,0.1125,1,0.0833333333333333,0.25,0.777777777777778,44.91,0.681153471489606,0.318846528510394,1,0,0.580547538880872,0.419452461119128,0.449074074074074,0.550925925925926,2.71077508444455,0.677693771111138,67.77
"8",8,"Mashonaland Central","Informal",91,8,91,0.18746683983865,0.132584043346023,0.178182432257452,0.191039426221614,0.0820172225435383,0.082609710550887,0.0482278909645014,0.083836152499125,0.0530894544052439,0.472880238752132,0.214285714285714,0.482758620689655,39,8,0.351648351648352,0,17.58,8,0.153846153846154,0.642857142857143,0,0.0659340659340659,0.021978021978022,0.351648351648352,0.709677419354839,0.648351648351648,0.157894736842105,30.58,8,0.0898876404494382,0.186813186813187,1,0,0.131868131868132,0.333333333333333,0.0833333333333333,0,0.96875,0.115384615384615,0.142857142857143,0.56043956043956,30.11,0.610025142090833,0.389974857909167,0.175824175824176,0.824175824175824,0.305798615645814,0.694201384354186,0.301055578706562,0.698944421293438,1.39270351226738,0.348175878066846,34.82
"9",9,"Mashonaland East","Formal",49,9,49,0.040703781512605,0,0.0351503759398496,0.414120177423196,0.0666620879120879,0.652573529411765,0,0.144642857142857,0.059453781512605,0.402332361516035,0.0425531914893617,0.111111111111111,18.53,9,1,1,100,9,0.959183673469388,0.659574468085106,0.5,0.346938775510204,0.306122448979592,0.73469387755102,0.527777777777778,0.897959183673469,0.25,57.58,9,0.387755102040816,0.428571428571429,0.978723404255319,0,0.224489795918367,0.382352941176471,0.441176470588235,0.382352941176471,1,0.0277777777777778,0.305555555555556,0.836734693877551,44.96,0.814667778627831,0.185332221372169,1,0,0.575805578338506,0.424194421661494,0.449624175911499,0.550375824088501,2.84009753287784,0.710024383219459,71
"10",10,"Mashonaland East","Informal",83,10,83,0.123101492003931,0.0356515630488233,0.141033378095899,0.282732251321459,0.139123788840628,0.332012195121951,0.0810056799198129,0.080609756097561,0.0807592716338122,0.652570938174055,0.1,0.26027397260274,33.76,10,0.0120481927710843,0,0.6,10,0.120481927710843,0.5,0,0.036144578313253,0.0120481927710843,0.879518072289157,0.575342465753425,0.590361445783133,0.180722891566265,32.16,10,0.341463414634146,0.481927710843373,0.9,0,0.036144578313253,0,0,0,0.986301369863014,0.0958904109589041,0.136986301369863,0.518072289156627,29.14,0.662385029741068,0.337614970258932,0.00602409638554217,0.993975903614458,0.321624397131907,0.678375602868093,0.291398839594932,0.708601160405068,1.28143236285345,0.320358090713362,32.04
