"","X","province","gender_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Men",60,1,60,0.320601454963658,0.109443777511004,0.166330300236036,0.164739922637544,0.134511382079858,0.107360382308846,0.0315464895635674,0.0894835736253737,0.138464781214835,0.455555555555556,0.115384615384615,0.375,31.53,1,0.483333333333333,0.466666666666667,47.5,1,0.433333333333333,0.807692307692308,0.133333333333333,0.233333333333333,0.0333333333333333,0.683333333333333,0.780487804878049,0.383333333333333,0.616666666666667,45.61,1,0.283333333333333,0.3,0.961538461538462,0.5,0.183333333333333,0.142857142857143,0.178571428571429,0.25,0.951219512195122,0,0.341463414634146,0.466666666666667,37.99,0.68468660968661,0.31531339031339,0.475,0.525,0.456094086581891,0.543905913418109,0.37991527442747,0.62008472557253,1.99569597069597,0.498923992673993,49.89
"2",2,"Bulawayo","Women",68,2,68,0.302645677300617,0.127459207459207,0.140898818695429,0.183885076618112,0.144911769232538,0.0721804372103929,0.0370454545454545,0.176340945503607,0.082082652990824,0.516339869281046,0.444444444444444,0.527272727272727,49.6,2,0.352941176470588,0.323529411764706,33.82,2,0.264705882352941,0.777777777777778,0.0487804878048781,0.132352941176471,0.0147058823529412,0.808823529411765,0.872727272727273,0.485294117647059,0.411764705882353,42.41,2,0.367647058823529,0.441176470588235,0.944444444444444,0,0.191176470588235,0.388888888888889,0.277777777777778,0.222222222222222,0.981818181818182,0,0.145454545454545,0.397058823529412,36.31,0.503980986333928,0.496019013666072,0.338235294117647,0.661764705882353,0.424103621903718,0.575896378096282,0.363138740344623,0.636861259655377,1.62945864269992,0.407364660674979,40.74
"3",3,"Harare","Men",78,3,78,0.160298309684705,0.023015873015873,0.256214797747056,0.23587866777624,0.0595797435383691,0.468140047919589,0.111810064935065,0.0540471333248332,0.0323694872993611,0.493265993265993,0.591836734693878,0.709677419354839,59.83,3,0.717948717948718,0.692307692307692,70.51,3,0.628205128205128,0.775510204081633,0.111111111111111,0.192307692307692,0.102564102564103,0.794871794871795,0.790322580645161,0.320512820512821,0.350649350649351,45.18,3,0.205128205128205,0.205128205128205,0.979591836734694,0.75,0.217948717948718,0.133333333333333,0.266666666666667,0.466666666666667,1,0.0161290322580645,0.112903225806452,0.179487179487179,37.77,0.401739950895097,0.598260049104903,0.705128205128205,0.294871794871795,0.45178386499431,0.54821613500569,0.377748589096515,0.622251410903485,1.93640061011413,0.484100152528532,48.41
"4",4,"Harare","Women",77,4,77,0.203481056914559,0.117694183211425,0.248149349436382,0.222269201865879,0.0842454550468149,0.223657899477572,0.0562218890554723,0.0456810427784096,0.0290418372302782,0.572358927622086,0.631578947368421,0.680851063829787,62.83,4,0.402597402597403,0.363636363636364,38.31,4,0.246753246753247,0.736842105263158,0.127659574468085,0.155844155844156,0.0909090909090909,0.61038961038961,0.739130434782609,0.506493506493506,0.25,38.49,4,0.144736842105263,0.155844155844156,0.947368421052632,0,0.12987012987013,0.25,0.25,0.708333333333333,0.957446808510638,0.0212765957446809,0.0212765957446809,0.207792207792208,31.62,0.371737020393235,0.628262979606765,0.383116883116883,0.616883116883117,0.384891302767051,0.615108697232949,0.316162090833143,0.683837909166857,1.45590729711031,0.363976824277578,36.4
"5",5,"Manicaland","Men",89,5,89,0.133454781167312,0.068244653103808,0.170197706076283,0.309461261917477,0.183879939092231,0.170311942397716,0.0815025252525253,0.14117830393906,0.079551075551628,0.463298717512201,0.581395348837209,0.828125,62.43,5,0.752808988764045,0.640449438202247,69.66,5,0.48314606741573,0.465116279069767,0.152173913043478,0.247191011235955,0.112359550561798,0.730337078651685,0.523076923076923,0.561797752808989,0.449438202247191,41.38,5,0.352272727272727,0.269662921348315,0.906976744186046,0.428571428571429,0.191011235955056,0.454545454545455,0.5,0.386363636363636,0.969230769230769,0.125,0.184615384615385,0.49438202247191,43.86,0.37572697788353,0.62427302211647,0.696629213483146,0.303370786516854,0.41384853090128,0.58615146909872,0.438552693713394,0.561447306286606,1.92475741598135,0.481189353995338,48.12
"6",6,"Manicaland","Women",62,6,62,0.153871204502164,0.117127199042093,0.167007237786236,0.360613596949215,0.133921895723485,0.133709755899765,0.017991239048811,0.135848966622453,0.107711943722088,0.575268817204301,0.4,0.606060606060606,52.71,6,0.451612903225806,0.306451612903226,37.9,6,0.241935483870968,0.533333333333333,0,0.112903225806452,0.0483870967741935,0.540983606557377,0.606060606060606,0.467741935483871,0.5,33.9,6,0.274193548387097,0.419354838709677,0.866666666666667,0,0.112903225806452,0,0.0714285714285714,0.5,0.878787878787879,0.0909090909090909,0.125,0.387096774193548,31.05,0.472890192245031,0.527109807754969,0.379032258064516,0.620967741935484,0.339038365320756,0.660961634679244,0.310528382907415,0.689471617092585,1.50148919853772,0.37537229963443,37.54
"7",7,"Mashonaland Central","Men",69,7,69,0.196552192731595,0.121354743447767,0.187876830318691,0.162557348520804,0.0842860658475276,0.108258186995729,0.0569444444444445,0.0867172915677899,0.0634595440243281,0.406521492575853,0.25,0.515151515151515,39.06,7,0.463768115942029,0.231884057971014,34.78,7,0.347826086956522,0.521739130434783,0.032258064516129,0.173913043478261,0.0579710144927536,0.552238805970149,0.714285714285714,0.681159420289855,0.345454545454545,38.08,7,0.102941176470588,0.159420289855072,0.958333333333333,1,0.246376811594203,0.458333333333333,0.0416666666666667,0.0916666666666667,0.972972972972973,0.125,0.166666666666667,0.666666666666667,41.58,0.609442330757544,0.390557669242456,0.347826086956522,0.652173913043478,0.380760647319857,0.619239352680143,0.415837048685514,0.584162951314486,1.75386611371944,0.438466528429859,43.85
"8",8,"Mashonaland Central","Women",40,8,40,0.173661510058569,0.122179455848811,0.132902794548905,0.221656945402795,0.0805747225576448,0.0599515374331551,0.0236895161290323,0.0909647950089127,0.0363636363636364,0.456327114660448,0.166666666666667,0.285714285714286,30.29,8,0.45,0.05,25,8,0.15,0.333333333333333,0,0.1,0.05,0.175,0.857142857142857,0.7,0.0571428571428571,26.92,8,0.102564102564103,0.225,1,0,0.075,0.25,0,0,1,0,0.2,0.475,27.73,0.6970973109862,0.3029026890138,0.25,0.75,0.269179894179894,0.730820105820106,0.277297008547009,0.722702991452991,1.4935742137131,0.373393553428276,37.34
"9",9,"Mashonaland East","Men",55,9,55,0.152622761318188,0.0194307608100712,0.118137152354056,0.33084422171805,0.125893110689736,0.44421340629275,0.0689655172413793,0.0918378020292179,0.0773812628569436,0.538636363636364,0.0384615384615385,0.19047619047619,25.59,9,0.472727272727273,0.472727272727273,47.27,9,0.472727272727273,0.769230769230769,0.3125,0.218181818181818,0.0909090909090909,0.763636363636364,0.595238095238095,0.709090909090909,0.163636363636364,45.5,9,0.4,0.418181818181818,1,0,0.236363636363636,0.375,0.125,0.166666666666667,1,0.0714285714285714,0.19047619047619,0.690909090909091,38.95,0.744141969141969,0.255858030858031,0.472727272727273,0.527272727272727,0.455016742516743,0.544983257483257,0.389502164502165,0.610497835497835,2.06138814888815,0.515347037222038,51.53
"10",10,"Mashonaland East","Women",77,10,77,0.0862323806551932,0.0379945162553858,0.115464132227757,0.282617271114585,0.135689287238583,0.403544562029836,0.083039376538146,0.104601247077763,0.0823693147024439,0.560464545201387,0.0645161290322581,0.223880597014925,28.3,10,0.311688311688312,0.298701298701299,30.52,10,0.402597402597403,0.516129032258065,0.294117647058824,0.103896103896104,0.142857142857143,0.87012987012987,0.537313432835821,0.701298701298701,0.236842105263158,42.28,10,0.328947368421053,0.493506493506494,0.935483870967742,0,0.012987012987013,0.25,0.75,0.5625,0.985074626865672,0.0746268656716418,0.194029850746269,0.597402597402597,43.2,0.717046242917143,0.282953757082857,0.305194805194805,0.694805194805195,0.422797937577232,0.577202062422768,0.43204655721404,0.56795344278596,1.87708554290322,0.469271385725805,46.93
"11",11,"Mashonaland West","Men",97,11,97,0.157494137769854,0.0791982057751612,0.199060378347412,0.187513455787741,0.109224802013408,0.00892857142857143,0.0864578105957416,0.181456707543664,0.0408279193736465,0.36275396394767,0.435897435897436,0.733333333333333,51.07,11,0.463917525773196,0.412371134020619,43.81,11,0.402061855670103,0.921052631578947,0.0588235294117647,0.381443298969072,0.0721649484536082,0.618556701030928,0.85,0.45360824742268,0.463917525773196,46.91,11,0.489583333333333,0.556701030927835,0.948717948717949,1,0.134020618556701,0.257882882882883,0.713213213213213,0.386636636636637,1,0.1,0.728813559322034,0.402061855670103,55.98,0.489338422273854,0.510661577726146,0.438144329896907,0.561855670103093,0.469069859812256,0.530930140187744,0.559802589938391,0.440197410061609,1.95635520192141,0.489088800480352,48.91
