"","X","province","location_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Rural",12,1,12,0.121969696969697,0.0883838383838384,0.134469696969697,0.272294372294372,0.121212121212121,0.0883838383838384,0.0636363636363636,0.0935606060606061,0.0848484848484848,0.510416666666667,0,0.666666666666667,39.24,1,0.166666666666667,0.166666666666667,16.67,1,0.0833333333333333,1,0,0.0833333333333333,0,0.5,1,0.416666666666667,0.75,42.59,1,0.5,0.75,1,0,0,0,1,0,1,0,0,0.916666666666667,43.06,0.607638888888889,0.392361111111111,0.166666666666667,0.833333333333333,0.425925925925926,0.574074074074074,0.430555555555556,0.569444444444444,1.63078703703704,0.40769675925926,40.77
"2",2,"Bulawayo","Urban",116,2,116,0.312445975271489,0.119282692689482,0.154534752523994,0.178040386584457,0.139886444416329,0.0837530596874412,0.0329293993677555,0.148802882369066,0.11043826033593,0.491379310344828,0.255813953488372,0.449438202247191,39.89,2,0.439655172413793,0.413793103448276,42.67,2,0.370689655172414,0.790697674418605,0.0923076923076923,0.189655172413793,0.0258620689655172,0.775862068965517,0.822222222222222,0.439655172413793,0.482758620689655,44.33,2,0.310344827586207,0.336206896551724,0.953488372093023,0.333333333333333,0.206896551724138,0.25,0.181818181818182,0.25,0.966666666666667,0,0.244444444444444,0.379310344827586,36.77,0.60112284463987,0.39887715536013,0.426724137931034,0.573275862068966,0.443301149729912,0.556698850270088,0.367709134920442,0.632290865079558,1.83885726722126,0.459714316805314,45.97
"3",3,"Harare","Rural",2,3,2,0.4,0,0.25,0.6,0,0,0,0,0,0.5,0,0,16.67,3,0.5,0.5,50,3,0.5,0,1,0.5,0.5,1,0,1,1,61.11,3,1,1,1,0,0.5,0.5,0,1,1,0,0,1,58.33,0.833333333333333,0.166666666666667,0.5,0.5,0.611111111111111,0.388888888888889,0.583333333333333,0.416666666666667,2.52777777777778,0.631944444444444,63.19
"4",4,"Harare","Urban",153,4,153,0.179759817290899,0.0798738277919864,0.249971304953906,0.218495863151663,0.0760564295119967,0.347368530020704,0.0761375348322327,0.0469368086810574,0.0314386282457461,0.53533707933427,0.611940298507463,0.710280373831776,61.92,4,0.562091503267974,0.529411764705882,54.58,4,0.437908496732026,0.776119402985075,0.109756097560976,0.169934640522876,0.0915032679738562,0.699346405228758,0.783018867924528,0.405228758169935,0.291390728476821,41.82,4,0.164473684210526,0.169934640522876,0.970149253731343,0.333333333333333,0.169934640522876,0.173076923076923,0.269230769230769,0.557692307692308,0.981308411214953,0.0186915887850467,0.0747663551401869,0.183006535947712,33.88,0.380814082775497,0.619185917224503,0.545751633986928,0.454248366013072,0.418245185063872,0.581754814936128,0.338799870284071,0.661200129715929,1.68361077211037,0.420902693027592,42.09
"5",5,"Manicaland","Rural",89,5,89,0.159236610303345,0.123154427696498,0.193742177229994,0.31110446161478,0.147028661407493,0.147730974412237,0.0595025172231055,0.135713756637874,0.0914568807541078,0.603719782090569,0.642857142857143,0.679245283018868,64.19,5,0.460674157303371,0.280898876404494,37.08,5,0.157303370786517,0.642857142857143,0.0588235294117647,0.0449438202247191,0,0.613636363636364,0.555555555555556,0.449438202247191,0.438202247191011,32.9,5,0.303370786516854,0.359550561797753,0.714285714285714,0.5,0.101123595505618,0.25,0,0.875,0.925925925925926,0.12962962962963,0.0943396226415094,0.370786516853933,38.53,0.35805926401114,0.64194073598886,0.370786516853933,0.629213483146067,0.328973359101141,0.671026640898859,0.385334362763078,0.614665637236922,1.44315350272929,0.360788375682323,36.08
"6",6,"Manicaland","Urban",62,6,62,0.124442576573093,0.0327029156816391,0.108722664433751,0.390416999174598,0.190710044093503,0.163367449081735,0.0138888888888889,0.126963402715282,0.090022010034808,0.374551971326165,0.5,0.840909090909091,57.18,6,0.870967741935484,0.82258064516129,84.68,6,0.709677419354839,0.431818181818182,0.131578947368421,0.403225806451613,0.209677419354839,0.709677419354839,0.545454545454545,0.629032258064516,0.516129032258065,47.63,6,0.344262295081967,0.290322580645161,0.954545454545455,0.4,0.241935483870968,0.36,0.46,0.34,0.954545454545455,0.0930232558139535,0.25,0.564516129032258,43.78,0.428179645921581,0.571820354078419,0.846774193548387,0.153225806451613,0.476252336608873,0.523747663391127,0.437762554461268,0.562237445538732,2.18896873054011,0.547242182635027,54.72
"7",7,"Mashonaland Central","Rural",75,7,75,0.196006958349886,0.109900020614306,0.147600285053293,0.18533346562431,0.069532937271269,0.0670355587808418,0.0455309139784946,0.0905457332173544,0.0495948234155781,0.422847867642658,0.1875,0.458333333333333,35.62,7,0.44,0.133333333333333,28.67,7,0.213333333333333,0.4,0.0357142857142857,0.08,0.0266666666666667,0.373333333333333,0.653846153846154,0.626666666666667,0.175438596491228,28.72,7,0.108108108108108,0.186666666666667,0.9375,1,0.186666666666667,0.208333333333333,0,0.208333333333333,0.964285714285714,0.0434782608695652,0.133333333333333,0.573333333333333,37.92,0.643772933008003,0.356227066991997,0.286666666666667,0.713333333333333,0.287222115116852,0.712777884883148,0.379169895827505,0.620830104172495,1.59683161061903,0.399207902654757,39.92
"8",8,"Mashonaland Central","Urban",34,8,34,0.166401638937548,0.150828460038986,0.198691660583592,0.189874192937423,0.111023849280793,0.125289627913316,0.0565606725146199,0.0953807370508294,0.0547274749721913,0.429032976827094,0.285714285714286,0.5,40.49,8,0.5,0.235294117647059,36.76,8,0.411764705882353,0.571428571428571,0,0.294117647058824,0.117647058823529,0.5,0.875,0.823529411764706,0.333333333333333,43.63,8,0.0909090909090909,0.176470588235294,1,0,0.176470588235294,0.5,0.05,0,1,0.2,0.214285714285714,0.647058823529412,33.79,0.59508424581954,0.40491575418046,0.367647058823529,0.632352941176471,0.436313414254591,0.563686585745409,0.3379329004329,0.6620670995671,1.73697761933056,0.43424440483264,43.42
"9",9,"Mashonaland East","Rural",42,9,42,0.101061937268834,0.0512820512820513,0.141978516978517,0.225475285820113,0.151963501963502,0.507257257257257,0.0574712643678161,0.151910531220876,0.200993300993301,0.582680023228804,0.0625,0.342105263157895,32.91,9,0.30952380952381,0.30952380952381,30.95,9,0.380952380952381,0.4375,0.428571428571429,0.119047619047619,0.142857142857143,0.904761904761905,0.157894736842105,0.595238095238095,0.380952380952381,39.42,9,0.476190476190476,0.666666666666667,1,0,0.0714285714285714,0.2,0.6,0.5,1,0.0263157894736842,0.157894736842105,0.80952380952381,45.9,0.670904904537767,0.329095095462233,0.30952380952381,0.69047619047619,0.394197298802562,0.605802701197438,0.459001670843776,0.540998329156224,1.83362768370792,0.458406920926979,45.84
"10",10,"Mashonaland East","Urban",90,10,90,0.108375660727413,0.0197897340754484,0.105194032158318,0.326863895181165,0.122810239885428,0.394375,0.0756338285065764,0.0778081761006289,0.0217482993197279,0.530106621773288,0.0487804878048781,0.140845070422535,23.99,10,0.411111111111111,0.4,40.56,10,0.455555555555556,0.707317073170732,0.269230769230769,0.166666666666667,0.111111111111111,0.788888888888889,0.774647887323944,0.755555555555556,0.123595505617978,46.14,10,0.303370786516854,0.366666666666667,0.951219512195122,0,0.122222222222222,0.366666666666667,0.3,0.266666666666667,0.985915492957746,0.0985915492957746,0.211267605633803,0.555555555555556,37.73,0.760089273333099,0.239910726666901,0.405555555555556,0.594444444444444,0.461396557013467,0.538603442986533,0.377345227031423,0.622654772968577,2.00438661293355,0.501096653233386,50.11
