"","X","province","sector_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Agriculture",15,1,15,0.202597402597403,0.0904761904761905,0.135714285714286,0.161410018552876,0.115238095238095,0.158730158730159,0.0636363636363636,0.102705627705628,0.0819047619047619,0.491666666666667,0,0.3,26.39,1,0.266666666666667,0.266666666666667,26.67,1,0.333333333333333,1,0.2,0.0666666666666667,0,0.666666666666667,0.7,0.4,0.6,44.07,1,0.4,0.666666666666667,1,0,0.0666666666666667,0.5,0,0.5,1,0,0.4,0.6,42.78,0.736111111111111,0.263888888888889,0.266666666666667,0.733333333333333,0.440740740740741,0.559259259259259,0.427777777777778,0.572222222222222,1.8712962962963,0.467824074074074,46.78
"2",2,"Bulawayo","Mining",4,2,4,0.166666666666667,0,0.145833333333333,0.404761904761905,0.166666666666667,0.0833333333333333,0,0,0.05,0.46875,0,1,48.96,2,0.5,0.5,50,2,0.25,1,0,0.5,0,0.5,0.5,0.75,1,50,2,0.5,0.5,1,0,0,0.5,0.5,0,1,0,0,0.75,39.58,0.510416666666667,0.489583333333333,0.5,0.5,0.5,0.5,0.395833333333333,0.604166666666667,1.90625,0.4765625,47.66
"3",3,"Bulawayo","Other",69,3,69,0.239710818282247,0.132716049382716,0.130779405779406,0.190937014374514,0.154789654789655,0.116695804195804,0.04375,0.164365634365634,0.124617974617975,0.452495974235105,0.310344827586207,0.576923076923077,44.66,3,0.565217391304348,0.521739130434783,54.35,3,0.420289855072464,0.689655172413793,0.108108108108108,0.246376811594203,0.0434782608695652,0.768115942028985,0.849056603773585,0.463768115942029,0.594202898550725,46.48,3,0.36231884057971,0.391304347826087,1,0.5,0.217391304347826,0.176470588235294,0.235294117647059,0.264705882352941,0.981132075471698,0,0.207547169811321,0.478260869565217,40.12,0.553412040418537,0.446587959581463,0.543478260869565,0.456521739130435,0.464783529817051,0.535216470182949,0.401202099653096,0.598797900346904,1.96287593075825,0.490718982689562,49.07
"4",4,"Bulawayo","Retail",15,4,15,0.229761904761905,0.080952380952381,0.167857142857143,0.204931972789116,0.134761904761905,0.1,0.0416666666666667,0.0357142857142857,0.113333333333333,0.491666666666667,0.25,0.153846153846154,29.85,4,0.466666666666667,0.466666666666667,46.67,4,0.533333333333333,1,0.0833333333333333,0.2,0,0.866666666666667,0.846153846153846,0.466666666666667,0.4,48.85,4,0.333333333333333,0.333333333333333,0.75,0,0.333333333333333,0.333333333333333,0,0.166666666666667,0.923076923076923,0,0.307692307692308,0.333333333333333,31.78,0.701495726495727,0.298504273504273,0.466666666666667,0.533333333333333,0.488461538461539,0.511538461538461,0.31784188034188,0.68215811965812,1.97446581196581,0.493616452991453,49.36
"5",5,"Bulawayo","Vending",25,5,25,0.418080808080808,0.136002886002886,0.198143939393939,0.170064935064935,0.101238095238095,0.03,0.0277777777777778,0.11125,0.088,0.74,0,0.388888888888889,37.63,5,0.04,0.04,4,5,0.04,1,0,0,0,0.72,0.888888888888889,0.32,0.2,35.21,5,0.16,0.16,1,0,0.12,0,0,0,0.944444444444444,0,0.166666666666667,0.2,22.93,0.623703703703704,0.376296296296296,0.04,0.96,0.352098765432099,0.647901234567901,0.229259259259259,0.770740740740741,1.24506172839506,0.311265432098766,31.13
"6",6,"Harare","Agriculture",10,6,10,0.230687830687831,0.150793650793651,0.196428571428571,0.226757369614512,0.127777777777778,0.140740740740741,0.0555555555555556,0.0912698412698413,0.0507936507936508,0.5125,0.5,0.5,50.42,6,0.5,0.5,50,6,0.4,0.75,0.166666666666667,0.3,0.1,0.6,0.5,0.7,0.7,46.85,6,0.2,0.4,1,0,0.3,0.5,0,0.666666666666667,1,0,0,0.5,38.06,0.495833333333333,0.504166666666667,0.5,0.5,0.468518518518519,0.531481481481481,0.380555555555556,0.619444444444444,1.84490740740741,0.461226851851852,46.12
"7",7,"Harare","Mining",3,7,3,0.0833333333333333,0,0,0.166666666666667,0,0.75,0,0,0,0.285714285714286,0.333333333333333,1,53.97,7,1,0.666666666666667,83.33,7,1,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.666666666666667,62.96,7,0.333333333333333,0.333333333333333,1,1,0.666666666666667,0.5,1,0.5,1,0,0,0.333333333333333,55.56,0.46031746031746,0.53968253968254,0.833333333333333,0.166666666666667,0.62962962962963,0.37037037037037,0.555555555555556,0.444444444444444,2.47883597883598,0.619708994708995,61.97
"8",8,"Harare","Other",99,8,99,0.179959464757269,0.0554432624113475,0.258539950812171,0.191531617488018,0.0532602186525594,0.431948903156768,0.0874772036474164,0.0485656897771794,0.0247414522169868,0.531482626720722,0.607843137254902,0.662162162162162,60.05,8,0.646464646464647,0.616161616161616,63.13,8,0.515151515151515,0.803921568627451,0.0909090909090909,0.181818181818182,0.0909090909090909,0.747474747474748,0.824324324324324,0.343434343434343,0.247422680412371,42.73,8,0.183673469387755,0.161616161616162,0.96078431372549,0.25,0.181818181818182,0.0833333333333333,0.222222222222222,0.583333333333333,0.986486486486487,0.027027027027027,0.0810810810810811,0.151515151515152,32.27,0.399504024620738,0.600495975379262,0.631313131313131,0.368686868686869,0.427262838117902,0.572737161882098,0.322740896795519,0.677259103204481,1.78082089084729,0.445205222711823,44.52
"9",9,"Harare","Retail",33,9,33,0.18789736139172,0.123938030984508,0.267653673163418,0.219403088689615,0.129996763404898,0.145084485407066,0.0551003344481605,0.0297849462365591,0.0480504908835905,0.571127946127946,0.7,0.9,72.37,9,0.393939393939394,0.363636363636364,37.88,9,0.303030303030303,0.6,0.111111111111111,0.0909090909090909,0.0606060606060606,0.606060606060606,0.842105263157895,0.515151515151515,0.333333333333333,38.47,9,0.151515151515152,0.151515151515152,1,0.333333333333333,0.0909090909090909,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0.05,0.151515151515152,32.74,0.276290684624018,0.723709315375982,0.378787878787879,0.621212121212121,0.384700809262213,0.615299190737787,0.32739898989899,0.67260101010101,1.3671783625731,0.341794590643275,34.18
"10",10,"Harare","Vending",10,10,10,0.185185185185185,0.0666666666666667,0.241666666666667,0.249206349206349,0.0222222222222222,0.425925925925926,0.108333333333333,0.0902777777777778,0.0222222222222222,0.6625,0,0.571428571428571,41.13,10,0.2,0.2,20,10,0,0,0.25,0.1,0.1,0.7,0.285714285714286,0.5,0.2,23.73,10,0.1,0.2,0,0,0.1,0,0,1,0.857142857142857,0,0.142857142857143,0.4,23.33,0.588690476190476,0.411309523809524,0.2,0.8,0.237301587301587,0.762698412698413,0.233333333333333,0.766666666666667,1.2593253968254,0.314831349206349,31.48
