"","X","province","size_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Medium",1,1,1,0,0,0,0,0,0.5,0,1,0,0.666666666666667,0,0,22.22,1,1,1,100,1,1,1,1,1,0,0,0,0,1,55.56,1,0,0,1,1,1,0,0,0,0,0,0,0,25,0.777777777777778,0.222222222222222,1,0,0.555555555555556,0.444444444444444,0.25,0.75,2.58333333333333,0.645833333333333,64.58
"2",2,"Bulawayo","Micro",98,2,98,0.385344909652311,0.12479797979798,0.161410984848485,0.173759619430419,0.128318181818182,0.0519582618639222,0.0344600938967136,0.0773874306444729,0.101325757575758,0.522675736961451,0.173913043478261,0.444444444444444,38.03,2,0.275510204081633,0.26530612244898,27.04,2,0.23469387755102,0.782608695652174,0.0350877192982456,0.102040816326531,0.0204081632653061,0.744897959183674,0.863013698630137,0.387755102040816,0.408163265306122,39.76,2,0.285714285714286,0.336734693877551,0.91304347826087,0,0.102040816326531,0.3,0.2,0.2,0.958904109589041,0,0.178082191780822,0.459183673469388,32.78,0.619655591705281,0.380344408294719,0.270408163265306,0.729591836734694,0.397629921917114,0.602370078082886,0.327808604084874,0.672191395915126,1.61550228097257,0.403875570243144,40.39
"3",3,"Bulawayo","Small",29,3,29,0.103641456582633,0.0578703703703704,0.09375,0.224855951152391,0.183029878618114,0.187776426360018,0.0277777777777778,0.24047619047619,0.14422268907563,0.379310344827586,0.35,0.521739130434783,41.7,3,0.862068965517241,0.793103448275862,82.76,3,0.689655172413793,0.8,0.230769230769231,0.413793103448276,0.0344827586206897,0.793103448275862,0.739130434782609,0.620689655172414,0.827586206896552,57.21,3,0.482758620689655,0.517241379310345,1,0.333333333333333,0.448275862068966,0.208333333333333,0.25,0.291666666666667,1,0,0.391304347826087,0.344827586206897,43.9,0.582983508245877,0.417016491754123,0.827586206896552,0.172413793103448,0.572134445597714,0.427865554402286,0.43897842745294,0.56102157254706,2.42168258819308,0.605420647048271,60.54
"4",4,"Harare","Medium",3,4,3,0.1,0,0.333333333333333,0.25,0.333333333333333,0.5,0,0,0,0.466666666666667,0.666666666666667,0.333333333333333,48.89,4,1,1,100,4,1,0.666666666666667,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0.666666666666667,62.96,4,0.666666666666667,0.666666666666667,1,0,0.666666666666667,0.5,0,0,1,0,0.333333333333333,0.333333333333333,43.06,0.511111111111111,0.488888888888889,1,0,0.62962962962963,0.37037037037037,0.430555555555556,0.569444444444444,2.5712962962963,0.642824074074074,64.28
"5",5,"Harare","Micro",107,5,107,0.203634453548576,0.0860252862090347,0.271789076099804,0.235287755671489,0.0696541885402095,0.305044270704878,0.0679249547920434,0.0474003048859262,0.0272638435404369,0.589304257528557,0.678571428571429,0.71830985915493,66.21,5,0.411214953271028,0.373831775700935,39.25,5,0.261682242990654,0.714285714285714,0.112903225806452,0.11214953271028,0.0841121495327103,0.663551401869159,0.746478873239437,0.448598130841121,0.266666666666667,37.89,5,0.179245283018868,0.177570093457944,0.964285714285714,0.428571428571429,0.121495327102804,0.125,0.5,0.708333333333333,0.971830985915493,0.0140845070422535,0.0704225352112676,0.177570093457944,36.99,0.337938151581695,0.662061848418305,0.392523364485981,0.607476635514019,0.378936437549133,0.621063562450867,0.369867441783087,0.630132558216913,1.4792653953999,0.369816348849974,36.98
"6",6,"Harare","Small",45,6,45,0.104709787140663,0.0684523809523809,0.131696428571429,0.15461909562212,0.101804915514593,0.45581797235023,0.0857142857142857,0.0912135176651306,0.0388095238095238,0.414814814814815,0.540540540540541,0.685714285714286,54.7,6,0.888888888888889,0.866666666666667,87.78,6,0.822222222222222,0.810810810810811,0.1,0.288888888888889,0.111111111111111,0.777777777777778,0.857142857142857,0.333333333333333,0.355555555555556,49.52,6,0.133333333333333,0.155555555555556,0.972972972972973,0,0.266666666666667,0.192307692307692,0.0769230769230769,0.538461538461539,1,0.0285714285714286,0.0571428571428571,0.222222222222222,30.37,0.45297678631012,0.54702321368988,0.877777777777778,0.122222222222222,0.495204728538062,0.504795271461938,0.303679778679779,0.696320221320221,2.12963907130574,0.532409767826435,53.24
"7",7,"Manicaland","Medium",1,7,1,0,0,0,0,0,0,0,0,0,0,1,0,33.33,7,1,1,100,7,1,0,1,1,1,0,0,1,1,66.67,7,1,1,1,1,1,1,0,1,0,0,0,1,66.67,0.666666666666667,0.333333333333333,1,0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,3,0.75,75
"8",8,"Manicaland","Micro",110,8,110,0.155640309869711,0.110035236081748,0.196886976787224,0.323131979176188,0.146657265751414,0.122229443021522,0.0522991543340381,0.138663933148989,0.0982932443708556,0.585395236771384,0.391304347826087,0.71875,56.51,8,0.5,0.363636363636364,43.18,8,0.209090909090909,0.608695652173913,0.0697674418604651,0.0818181818181818,0.0454545454545455,0.596330275229358,0.584615384615385,0.436363636363636,0.436363636363636,34.09,8,0.263636363636364,0.309090909090909,0.826086956521739,0,0.0818181818181818,0.111111111111111,0.111111111111111,0.5,0.907692307692308,0.140625,0.125,0.327272727272727,30.86,0.43485013846751,0.56514986153249,0.431818181818182,0.568181818181818,0.34094440699667,0.65905559300333,0.308620389021204,0.691379610978796,1.51623311630357,0.379058279075892,37.91
"9",9,"Manicaland","Small",40,9,40,0.0727037869895013,0,0.025987525987526,0.450944888444888,0.217058617058617,0.296176046176046,0,0.1001521001521,0.0752895752895753,0.313888888888889,0.617647058823529,0.818181818181818,58.32,9,0.975,0.875,92.5,9,0.85,0.411764705882353,0.107142857142857,0.475,0.175,0.825,0.484848484848485,0.75,0.55,51.43,9,0.461538461538462,0.375,0.941176470588235,0.666666666666667,0.35,0.421052631578947,0.552631578947368,0.342105263157895,1,0.0606060606060606,0.242424242424242,0.775,51.57,0.416760744701921,0.583239255298079,0.925,0.075,0.514306227541522,0.485693772458478,0.51568344795899,0.48431655204101,2.37175042020243,0.592937605050608,59.29
"10",10,"Mashonaland Central","Medium",1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,100,10,1,1,0,0,0,1,1,1,1,66.67,10,0,0,1,0,0,0,0,0,1,0,0,1,25,1,0,1,0,0.666666666666667,0.333333333333333,0.25,0.75,2.91666666666667,0.729166666666667,72.92
