"","province","n","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_score","usage_normalise","usage_percentage"
"1","Bulawayo",128,0.328125,0.375,0.954545454545455,0.333333333333333,0.1875,0.239130434782609,0.217391304347826,0.239130434782609,0.96875,0,0.229166666666667,0.4296875,4.5017601284585,0.375146677371542,37.51
"2","Harare",155,0.175324675324675,0.180645161290323,0.970588235294118,0.3,0.174193548387097,0.185185185185185,0.259259259259259,0.574074074074074,0.981651376146789,0.018348623853211,0.073394495412844,0.193548387096774,4.08621302132435,0.340517751777029,34.05
"3","Manicaland",151,0.32,0.33112582781457,0.896551724137931,0.428571428571429,0.158940397350993,0.344827586206897,0.396551724137931,0.413793103448276,0.938775510204082,0.11340206185567,0.164948453608247,0.450331125827815,4.95781894316384,0.413151578596987,41.32
"4","Mashonaland Central",109,0.102803738317757,0.18348623853211,0.966666666666667,1,0.18348623853211,0.401785714285714,0.03125,0.0669642857142857,0.977272727272727,0.105263157894737,0.172413793103448,0.596330275229358,4.78772283554891,0.39897690296241,39.9
"5","Mashonaland East",132,0.358778625954198,0.462121212121212,0.964912280701754,0,0.106060606060606,0.325,0.375,0.325,0.990825688073395,0.073394495412844,0.192660550458716,0.636363636363636,4.81011709514636,0.400843091262197,40.08
"6","Mashonaland West",162,0.447204968944099,0.530864197530864,0.963636363636364,0.5,0.0925925925925926,0.275098039215686,0.664313725490196,0.408039215686274,0.979591836734694,0.0721649484536082,0.680412371134021,0.382716049382716,5.99663430880112,0.499719525733426,49.97
"7","Masvingo",154,0.258278145695364,0.441558441558442,1,0.5,0.116883116883117,0.105263157894737,0.342105263157895,0.236842105263158,1,0.087719298245614,0.321428571428571,0.246753246753247,4.65683134688014,0.388069278906679,38.81
"8","Matabeleland North",142,0.119718309859155,0.176056338028169,0.924528301886792,0,0.161971830985915,0.3,0.25,0.35,0.958333333333333,0,0.025,0.0845070422535211,3.35011515634689,0.279176263028907,27.92
"9","Matabeleland South",139,0.18705035971223,0.165467625899281,0.974683544303797,0.2,0.129496402877698,0.361111111111111,0.111111111111111,0.375,0.963636363636364,0,0.0909090909090909,0.37410071942446,3.93256632898514,0.327713860748762,32.77
"10","Midlands",126,0.245901639344262,0.238095238095238,0.967741935483871,0.5,0.0793650793650794,0.128787878787879,0.477272727272727,0.257575757575758,0.904761904761905,0.0952380952380952,0.238095238095238,0.222222222222222,4.35505771624227,0.362921476353523,36.29
