"","province","n","bank_account_value","time_open_bank_value","sme_auction_value","time_approval_commercial_value","collateral_commercial_value","other_financial_value","time_approval_other_value","collateral_other_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","insurance_mm_value","savings_facility_value","advice_sources_value","availability_score","availability_normalise","availability_percentage"
"1","Bulawayo",128,0.34375,0.868181818181818,0.0845070422535211,0.777083333333333,0.291666666666667,0.666666666666667,0.826666666666667,0.5,0.1796875,0.0234375,0.75,0.989583333333333,0.229166666666667,0.4375,0.5078125,4.23393886043534,0.470437651159482,47.04
"2","Harare",155,0.438709677419355,0.858823529411765,0.120481927710843,0.573333333333333,0.291666666666667,0.407407407407407,0.781818181818182,0.5,0.174193548387097,0.0967741935483871,0.703225806451613,0.972222222222222,0.073394495412844,0.412903225806452,0.300653594771242,3.97718867275472,0.441909852528303,44.19
"3","Manicaland",151,0.384105960264901,0.703448275862069,0.0972222222222222,0.695833333333333,0.4375,0.625,0.86,0.5,0.19205298013245,0.0860927152317881,0.653333333333333,0.944897959183673,0.164948453608247,0.52317880794702,0.470198675496689,4.02742640314994,0.447491822572216,44.75
"4","Mashonaland Central",111,0.27027027027027,0.662068965517241,0.024390243902439,0.76,0.333333333333333,0.45,1,0.5,0.144144144144144,0.0540540540540541,0.403669724770642,0.957142857142857,0.172413793103448,0.684684684684685,0.25,3.47869459344564,0.38652162149396,38.65
"5","Mashonaland East",132,0.431818181818182,0.824561403508772,0.303030303030303,0.833333333333333,0.833333333333333,0.357142857142857,0.8,1,0.151515151515152,0.121212121212121,0.825757575757576,0.842201834862385,0.192660550458716,0.704545454545455,0.206106870229008,4.45189429542252,0.494654921713613,49.47
"6","Mashonaland West",162,0.339506172839506,0.959259259259259,0.0588235294117647,0.733333333333333,0.666666666666667,0.8,0.822222222222222,1,0.314814814814815,0.0555555555555556,0.604938271604938,0.977551020408163,0.680412371134021,0.407407407407407,0.444444444444444,4.52789803206506,0.503099781340562,50.31
"7","Masvingo",154,0.175324675324675,0.822222222222222,0.0526315789473684,0.6,0.125,0.722222222222222,0.9,1,0.246753246753247,0.012987012987013,0.37012987012987,0.964912280701754,0.321428571428571,0.818181818181818,0.177631578947368,3.71544960887066,0.412827734318962,41.28
"8","Matabeleland North",144,0.381944444444444,0.749090909090909,0,0.834848484848485,0.367132867132867,0.25,0.733333333333333,0.5,0.138888888888889,0.118055555555556,0.840277777777778,0.993388429752066,0.0247933884297521,0.173611111111111,0.307692307692308,3.58885392385392,0.39876154709488,39.88
"9","Matabeleland South",139,0.568345323741007,0.726582278481013,0.0892857142857143,0.5,0.25,0.333333333333333,0.733333333333333,0.5,0.258992805755396,0.122302158273381,0.39568345323741,0.876363636363636,0.0909090909090909,0.431654676258993,0.460431654676259,3.7615579862265,0.417950887358501,41.8
"10","Midlands",126,0.246031746031746,0.780645161290323,0.0277777777777778,0.6,0.75,0.4,0.9,0.5,0.0952380952380952,0.0555555555555556,0.166666666666667,0.895238095238095,0.238095238095238,0.380952380952381,0.404761904761905,3.19572452636969,0.355080502929965,35.51
