"","province","n","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_score","barriers_normalise","barriers_percentage"
"1","Bulawayo",128,0.487847222222222,0.25,0.463157894736842,1.20100511695906,0.400335038986355,40.03
"2","Harare",155,0.532719776299789,0.602941176470588,0.697247706422018,1.8329086591924,0.610969553064132,61.1
"3","Manicaland",151,0.509384351238656,0.53448275862069,0.752577319587629,1.79644442944697,0.598814809815658,59.88
"4","Mashonaland Central",111,0.427306025576245,0.233333333333333,0.475,1.13563935890958,0.37854645296986,37.85
"5","Mashonaland East",132,0.526276960246426,0.0526315789473684,0.211009174311927,0.789917713505721,0.263305904501907,26.33
"6","Mashonaland West",162,0.411385459533608,0.436363636363636,0.73469387755102,1.58244297344826,0.527480991149421,52.75
"7","Masvingo",154,0.498896528308293,0.185185185185185,0.392857142857143,1.07693885635062,0.35897961878354,35.9
"8","Matabeleland North",144,0.556902539296905,0.0909090909090909,0.611570247933884,1.25938187813988,0.41979395937996,41.98
"9","Matabeleland South",139,0.391095818996976,0.481012658227848,0.444444444444444,1.31655292166927,0.438850973889756,43.89
"10","Midlands",126,0.539132275132275,0.258064516129032,0.380952380952381,1.17814917221369,0.392716390737896,39.27
