"","province","n","registered_value","zimra_value","compliance_score","compliance_normalise","compliance_percentage"
"1","Bulawayo",111,0.405405405405405,0.387387387387387,0.792792792792793,0.396396396396396,39.64
"2","Harare",111,0.558558558558559,0.540540540540541,1.0990990990991,0.549549549549549,54.95
"3","Manicaland",111,0.63963963963964,0.495495495495495,1.13513513513514,0.567567567567568,56.76
"4","Mashonaland Central",111,0.468468468468468,0.162162162162162,0.630630630630631,0.315315315315315,31.53
"5","Mashonaland East",111,0.378378378378378,0.369369369369369,0.747747747747748,0.373873873873874,37.39
"6","Mashonaland West",111,0.36036036036036,0.342342342342342,0.702702702702703,0.351351351351351,35.14
"7","Masvingo",111,0.27027027027027,0.216216216216216,0.486486486486487,0.243243243243243,24.32
"8","Matabeleland North",111,0.504504504504504,0.297297297297297,0.801801801801802,0.400900900900901,40.09
"9","Matabeleland South",111,0.675675675675676,0.576576576576577,1.25225225225225,0.626126126126126,62.61
"10","Midlands",111,0.486486486486487,0.261261261261261,0.747747747747748,0.373873873873874,37.39
