"","X","province","age_inclusion","n","barriers_score","barriers_normalise","compliance_score","compliance_normalise","availability_score","availability_normalise","usage_score","usage_normalise","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","35+",75,2.08061318677976,0.189146653343615,0.906666666666667,0.453333333333333,4.37060728744939,0.485623031938821,5.23627530364372,0.436356275303644,0.810853346656385,0.189146653343615,0.453333333333333,0.546666666666667,0.485623031938821,0.514376968061179,0.436356275303644,0.563643724696356,2.18616598723218,0.546541496808046,54.65
"2",2,"Bulawayo","Youth",53,1.81707322443008,0.16518847494819,0.660377358490566,0.330188679245283,4.03838530442304,0.448709478269227,4.36259359089548,0.363549465907957,0.83481152505181,0.16518847494819,0.330188679245283,0.669811320754717,0.448709478269227,0.551290521730773,0.363549465907957,0.636450534092043,1.97725914847428,0.494314787118569,49.43
"3",3,"Harare","35+",92,2.71873026989854,0.247157297263503,1.47826086956522,0.739130434782609,4.44848947662507,0.494276608513897,5.24281269902667,0.436901058252222,0.752842702736497,0.247157297263503,0.739130434782609,0.260869565217391,0.494276608513897,0.505723391486103,0.436901058252222,0.563098941747778,2.42315080428522,0.605787701071306,60.58
"4",4,"Harare","Youth",63,2.54205117968728,0.231095561789753,0.523809523809524,0.261904761904762,3.27333410400423,0.363703789333804,3.25140415140415,0.270950345950346,0.768904438210247,0.231095561789753,0.261904761904762,0.738095238095238,0.363703789333804,0.636296210666196,0.270950345950346,0.729049654049654,1.66546333539916,0.41636583384979,41.64
"5",5,"Manicaland","35+",95,2.78963273749919,0.25360297613629,1.18947368421053,0.594736842105263,4.1339284322567,0.459325381361856,5.3666597400676,0.447221645005633,0.74639702386371,0.25360297613629,0.594736842105263,0.405263157894737,0.459325381361856,0.540674618638144,0.447221645005633,0.552778354994367,2.24768089233646,0.561920223084115,56.19
"6",6,"Manicaland","Youth",56,2.30655781824277,0.209687074385706,1.03571428571429,0.517857142857143,3.8538585741675,0.428206508240833,5.18036758563074,0.431697298802562,0.790312925614294,0.209687074385706,0.517857142857143,0.482142857142857,0.428206508240833,0.571793491759167,0.431697298802562,0.568302701197438,2.16807387551483,0.542018468878708,54.2
"7",7,"Mashonaland Central","35+",43,1.60842728005557,0.146220661823234,0.744186046511628,0.372093023255814,4.05537402425519,0.450597113806133,5.26020210409745,0.438350175341454,0.853779338176766,0.146220661823234,0.372093023255814,0.627906976744186,0.450597113806133,0.549402886193867,0.438350175341454,0.561649824658546,2.11481965058017,0.528704912645042,52.87
"8",8,"Mashonaland Central","Youth",68,1.8676051058869,0.169782282353355,0.558823529411765,0.279411764705882,3.1278439310947,0.347538214566078,NA,NA,0.830217717646645,0.169782282353355,0.279411764705882,0.720588235294118,0.347538214566078,0.652461785433922,NA,NA,1.4571676969186,0.364291924229651,36.43
"9",9,"Mashonaland East","35+",109,1.58063972136443,0.143694520124039,0.761467889908257,0.380733944954128,4.50463229940294,0.50051469993366,5.35884046890928,0.446570039075773,0.856305479875961,0.143694520124039,0.380733944954128,0.619266055045872,0.50051469993366,0.49948530006634,0.446570039075773,0.553429960924227,2.18412416383952,0.546031040959881,54.6
"10",10,"Mashonaland East","Youth",23,1.60442448111621,0.145856771010565,0.695652173913043,0.347826086956522,4.44019832189169,0.493355369099076,4.79248665141114,0.399373887617595,0.854143228989435,0.145856771010565,0.347826086956522,0.652173913043478,0.493355369099076,0.506644630900924,0.399373887617595,0.600626112382405,2.09469857266263,0.523674643165657,52.37
