"","X","province","formality_inclusion","n","barriers_percentage","compliance_percentage","availability_percentage","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Formal",50,16.73,100,59.28,43.18,0.832670502517577,0.167329497482423,1,0,0.592785714285714,0.407214285714286,0.431845238095238,0.568154761904762,2.85730145489853,0.714325363724632,71.43
"2",2,"Bulawayo","Informal",78,15.74,1.92,34.56,35.76,0.842550051424503,0.157449948575497,0.0192307692307692,0.980769230769231,0.345641025641026,0.654358974358974,0.357632953466287,0.642367046533713,1.56505479976259,0.391263699940646,39.13
"3",3,"Harare","Formal",82,26.85,100,49.62,40.28,0.731494846994711,0.268505153005289,1,0,0.496167561309665,0.503832438690335,0.402845391585229,0.597154608414771,2.6305077998896,0.657626949972401,65.76
"4",4,"Harare","Informal",73,22.09,3.42,30.87,30.5,0.779117374455152,0.220882625544848,0.0342465753424658,0.965753424657534,0.308665450318556,0.691334549681444,0.304958764327649,0.695041235672351,1.42698816444382,0.356747041110956,35.67
"5",5,"Manicaland","Formal",76,24.66,100,51.58,47.8,0.753356727103579,0.246643272896421,1,0,0.515837396697692,0.484162603302308,0.478031733335825,0.521968266664175,2.7472258571371,0.686806464284274,68.68
"6",6,"Manicaland","Informal",75,25.17,12.67,32.73,28.32,0.748338350149624,0.251661649850376,0.126666666666667,0.873333333333333,0.327314439946019,0.672685560053981,0.283205128205128,0.716794871794872,1.48552458496744,0.37138114624186,37.14
"7",7,"Mashonaland Central","Formal",18,14.94,100,57.74,47.69,0.850596877869605,0.149403122130395,1,0,0.577432178932179,0.422567821067821,0.476851851851852,0.523148148148148,2.90488090865364,0.726220227163409,72.62
"8",8,"Mashonaland Central","Informal",93,15.85,18.28,33,32.34,0.841503743697022,0.158496256302978,0.182795698924731,0.817204301075269,0.330022450667612,0.669977549332388,0.323401005356651,0.676598994643349,1.67772289864602,0.419430724661504,41.94
"9",9,"Mashonaland East","Formal",49,14.25,100,59.54,47.37,0.85754810059496,0.14245189940504,1,0,0.59541178173397,0.40458821826603,0.473698249985573,0.526301750014427,2.9266581323145,0.731664533078626,73.17
"10",10,"Mashonaland East","Informal",83,15.06,0.6,35.54,27.86,0.849426968301217,0.150573031698783,0.00602409638554217,0.993975903614458,0.355379765637894,0.644620234362106,0.278613451467078,0.721386548532922,1.48944428179173,0.372361070447933,37.24
"11",11,"Mashonaland West","Formal",55,18.85,100,76.25,60.79,0.811489897018756,0.188510102981244,1,0,0.762549533799534,0.237450466200466,0.607864012366924,0.392135987633076,3.18190344318521,0.795475860796304,79.55
"12",12,"Mashonaland West","Informal",107,16.88,2.8,33.62,30.15,0.831185958946445,0.168814041053555,0.0280373831775701,0.97196261682243,0.336211567113639,0.663788432886361,0.301527476431067,0.698472523568933,1.49696238566872,0.37424059641718,37.42
"13",13,"Masvingo","Formal",30,15.95,100,56.19,50.86,0.840506626056983,0.159493373943017,1,0,0.561889483065954,0.438110516934046,0.508551710478688,0.491448289521312,2.91094781960162,0.727736954900406,72.77
"14",14,"Masvingo","Informal",124,14.29,2.42,36.3,29.93,0.857058260429456,0.142941739570544,0.0241935483870968,0.975806451612903,0.36296102084214,0.63703897915786,0.299298202182336,0.700701797817664,1.54351103184103,0.385877757960257,38.59
"15",15,"Matabeleland North","Formal",46,16.02,100,52.62,32.83,0.839845802534913,0.160154197465087,1,0,0.526223602484472,0.473776397515528,0.328274672187716,0.671725327812284,2.6943440772071,0.673586019301775,67.36
"16",16,"Matabeleland North","Informal",98,17.69,14.8,30.26,21.9,0.823118272688215,0.176881727311785,0.147959183673469,0.852040816326531,0.302601595753289,0.697398404246711,0.218967841559204,0.781032158440796,1.49264689367418,0.373161723418544,37.32
"17",17,"Matabeleland South","Formal",83,18.1,100,47.13,37.34,0.819033903974204,0.180966096025796,1,0,0.471301689396737,0.528698310603263,0.373385074626528,0.626614925373472,2.66372066799747,0.665930166999367,66.59
"18",18,"Matabeleland South","Informal",56,14.68,12.5,29.84,29.33,0.853215631044234,0.146784368955766,0.125,0.875,0.298376623376623,0.701623376623377,0.293253968253968,0.706746031746032,1.56984622267483,0.392461555668706,39.25
"19",19,"Midlands","Formal",35,14.2,100,50.42,47.2,0.857953601803772,0.142046398196228,1,0,0.504180952380952,0.495819047619048,0.471969484763602,0.528030515236398,2.83410403894833,0.708526009737081,70.85
"20",20,"Midlands","Informal",91,20.85,17.03,25.23,26.29,0.791538167986137,0.208461832013863,0.17032967032967,0.82967032967033,0.252253824606766,0.747746175393234,0.262944925444925,0.737055074555075,1.4770665883675,0.369266647091875,36.93
