"","X","province","location_inclusion","n","barriers_percentage","compliance_percentage","availability_percentage","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Rural",12,15.78,16.67,38.33,45.28,0.842234028597665,0.157765971402335,0.166666666666667,0.833333333333333,0.383333333333333,0.616666666666667,0.452777777777778,0.547222222222222,1.84501180637544,0.461252951593861,46.13
"2",2,"Bulawayo","Urban",116,18.05,42.67,44.75,39.25,0.819512181001681,0.180487818998319,0.426724137931034,0.573275862068966,0.447524006333148,0.552475993666852,0.392489496677548,0.607510503322452,2.08624982194341,0.521562455485853,52.16
"3",3,"Harare","Rural",2,11.36,50,71,58.33,0.886363636363636,0.113636363636364,0.5,0.5,0.71,0.29,0.583333333333333,0.416666666666667,2.67969696969697,0.669924242424242,66.99
"4",4,"Harare","Urban",153,23.89,54.58,41.14,38.08,0.761067325743688,0.238932674256312,0.545751633986928,0.454248366013072,0.411421943017716,0.588578056982284,0.380836377777755,0.619163622222245,2.09907728052609,0.524769320131522,52.48
"5",5,"Manicaland","Rural",89,24.46,37.08,35.84,41.88,0.755384282440414,0.244615717559586,0.370786516853933,0.629213483146067,0.35836712831232,0.64163287168768,0.418786660523552,0.581213339476448,1.90332458813022,0.475831147032555,47.58
"6",6,"Manicaland","Urban",62,23.47,84.68,51.73,45.98,0.765259450764874,0.234740549235126,0.846774193548387,0.153225806451613,0.517263466584349,0.482736533415651,0.459771101469815,0.540228898530185,2.58906821236743,0.647267053091856,64.73
"7",7,"Mashonaland Central","Rural",75,14.61,28.67,32.32,43.41,0.853916906396485,0.146083093603515,0.286666666666667,0.713333333333333,0.323166570271833,0.676833429728167,0.434080610113219,0.565919389886781,1.8978307534482,0.474457688362051,47.45
"8",8,"Mashonaland Central","Urban",36,17.73,37.5,43.16,35.2,0.822710415699457,0.177289584300543,0.375,0.625,0.431642156862745,0.568357843137255,0.352000661375661,0.647999338624339,1.98135323393786,0.495338308484466,49.53
"9",9,"Mashonaland East","Rural",42,18.13,30.95,46.2,50.05,0.818727371789985,0.181272628210015,0.30952380952381,0.69047619047619,0.462014411027569,0.537985588972431,0.500522138680033,0.499477861319967,2.0907877310214,0.522696932755349,52.27
"10",10,"Mashonaland East","Urban",90,13.11,40.56,46.24,40.92,0.868888688710716,0.131111311289284,0.405555555555556,0.594444444444444,0.462360989254408,0.537639010745592,0.409240766937526,0.590759233062474,2.14604600045821,0.536511500114552,53.65
"11",11,"Mashonaland West","Rural",95,19.69,32.63,47.75,46.01,0.803145678956879,0.196854321043121,0.326315789473684,0.673684210526316,0.47748261783491,0.52251738216509,0.460127045381551,0.539872954618449,2.06707113164702,0.516767782911756,51.68
"12",12,"Mashonaland West","Urban",67,21.6,40.3,49.55,46.27,0.783965083308504,0.216034916691496,0.402985074626866,0.597014925373134,0.495504761932169,0.504495238067831,0.462678929175582,0.537321070824418,2.14513384904312,0.53628346226078,53.63
"13",13,"Masvingo","Rural",93,16.82,10.22,36.81,30.35,0.831800491460893,0.168199508539107,0.102150537634409,0.897849462365591,0.368105397558743,0.631894602441257,0.303544546850998,0.696455453149002,1.60560097350504,0.401400243376261,40.14
"14",14,"Masvingo","Urban",61,14.96,38.52,44.33,47.76,0.850414478355741,0.149585521644259,0.385245901639344,0.614754098360656,0.443316608710051,0.556683391289949,0.477645926477894,0.522354073522106,2.15662291518303,0.539155728795758,53.92
"15",15,"Matabeleland North","Rural",86,19.12,29.07,34.2,30.07,0.808765822268403,0.191234177731597,0.290697674418605,0.709302325581395,0.341969904240766,0.658030095759234,0.300660244718042,0.699339755281958,1.74209364564582,0.435523411411454,43.55
"16",16,"Matabeleland North","Urban",58,15.72,61.21,42.69,32.22,0.842769919014457,0.157230080985543,0.612068965517241,0.387931034482759,0.426944801026958,0.573055198973042,0.322202823899296,0.677797176100704,2.20398650945795,0.550996627364488,55.1
"17",17,"Matabeleland South","Rural",94,18.29,57.98,35.22,36.61,0.817146291518995,0.182853708481005,0.579787234042553,0.420212765957447,0.352157130675319,0.647842869324681,0.36609025840323,0.63390974159677,2.1151809146401,0.528795228660024,52.88
"18",18,"Matabeleland South","Urban",45,17.25,78.89,50.58,37.76,0.827518759844275,0.172481240155725,0.788888888888889,0.211111111111111,0.505811454311454,0.494188545688546,0.377638888888889,0.622361111111111,2.49985799193351,0.624964497983377,62.5
"19",19,"Midlands","Rural",89,19.2,30.34,27.07,31.18,0.807999907058351,0.192000092941649,0.303370786516854,0.696629213483146,0.270650124843945,0.729349875156055,0.311806504124746,0.688193495875254,1.6938273225439,0.423456830635974,42.35
"20",20,"Midlands","Urban",37,14.57,63.51,44.76,46.26,0.854292372327317,0.145707627672683,0.635135135135135,0.364864864864865,0.44756435006435,0.55243564993565,0.462598908432242,0.537401091567758,2.39959076595904,0.599897691489761,59.99
