"","province","total_responses","percent_female_owner","percent_male_owner","percent_primary","percent_secondary","percent_tertiary","percent_vocational","average_num_employees","average_annual_turnover","average_gross_assets","enterprise_category","percent_rural","percent_urban","percent_micro","percent_small","percent_medium","percent_manufacturing","percent_retail","percent_agriculture","percent_mining","percent_vending","percent_health","percent_construction","percent_education","percent_catering","percent_ict","percent_professional","percent_arts","percent_logistics","percent_financial","percent_textile","percent_handicrafts","percent_tourism","percent_trichology","percent_graphics","percent_bank_account","mode_days_open_bank","percent_mobile_account","mode_days_open_mobile","percent_mobile_insurance","percent_registered","percent_zimra","percent_insurance","percent_pension_policy","percent_saving_facility","percent_savings_start","percent_chimbadzo_start","percent_familylocal_start","percent_banks_start","percent_remittance_start","percent_collegues_start","percent_rosals_start","percent_localngo_start","percent_mfi_start","percent_grant_start","percent_govt_start","percent_creditunion_start","percent_savings_ongoing","percent_chimbadzo_ongoing","percent_familylocal_ongoing","percent_banks_ongoing","percent_remittance_ongoing","percent_collegues_ongoing","percent_rosals_ongoing","percent_localngo_ongoing","percent_mfi_ongoing","percent_grant_ongoing","percent_govt_ongoing","percent_creditunion_ongoing","percent_orderfinance_ongoing"
"1","Bulawayo",128,53.12,46.88,1.56,24.22,28.12,38.28,5.88,23009.53,11260.22,"small",9.38,90.62,76.56,22.66,0.78,3.91,11.72,11.72,3.12,23.44,3.91,1.56,2.34,8.59,0.78,0.78,2.34,5.47,0.78,5.47,1.56,5.47,5.47,3.91,34.38,"2 to 3 days",75,"1 day /same day service",17.19,41.41,39.06,17.97,2.34,43.75,85.94,2.34,9.38,10.94,5.47,10.16,10.16,0,6.25,0,2.34,0.78,77.34,3.12,7.03,11.72,5.47,14.84,10.94,0.78,5.47,5.47,4.69,0.78,0
"2","Harare",154,50,50,1.3,16.23,47.4,17.53,7.03,44171.88,21995.13,"small",1.3,98.7,69.48,28.57,1.95,1.95,22.73,6.49,1.95,11.04,1.3,3.25,1.95,8.44,9.74,3.9,1.3,4.55,0,3.9,0,1.95,5.19,0.65,43.51,"1 day /same day service",70.13,"1 day /same day service",4.55,55.84,52.6,17.53,9.74,40.91,90.91,3.9,7.14,5.19,10.39,2.6,6.49,0.65,3.9,0,1.3,0,92.86,2.6,5.19,7.79,6.49,3.25,7.79,0,3.25,3.25,0,0,0
"3","Manicaland",149,40.94,59.06,6.04,13.42,40.27,30.87,5.87,24037.85,9431.68,"micro",58.39,41.61,72.48,26.85,0.67,6.04,24.83,7.38,3.36,12.75,0.67,3.36,2.01,5.37,2.68,2.01,2.68,5.37,2.01,1.34,2.68,3.36,4.7,5.37,38.26,"7 to 10 days",64.43,"1 day /same day service",10.74,63.09,50.34,19.46,8.72,53.02,69.13,8.05,16.11,6.71,6.71,17.45,3.36,5.37,4.7,0,1.34,2.01,67.79,11.41,14.77,4.03,14.77,15.44,6.71,2.68,3.36,3.36,2.01,2.01,0
"4","Mashonaland Central",100,40,60,5,46,33,8,3.06,42319.42,12765.2,"small",64,36,69,30,1,1,12,18,4,36,4,1,2,3,2,2,1,4,1,4,0,1,3,1,28,"11 to 30 days",35,"1 day /same day service",5,48,17,16,6,71,85,1,12,1,2,0,3,0,3,1,2,1,76,3,5,6,0,2,6,0,9,9,0,1,0
"5","Mashonaland East",132,58.33,41.67,3.79,30.3,23.48,28.03,10.2,37277.56,29670.33,"small",31.82,68.18,71.21,23.48,5.3,6.06,13.64,11.36,2.27,15.15,0.76,5.3,1.52,11.36,0.76,0,2.27,2.27,0,6.82,1.52,4.55,10.61,0.76,43.18,"7 to 10 days",82.58,"1 day /same day service",15.91,37.88,37.12,15.15,12.12,70.45,85.61,8.33,21.97,10.61,17.42,3.03,15.91,2.27,5.3,7.58,1.52,0,90.15,6.06,27.27,9.85,18.94,3.03,28.79,1.52,3.03,3.03,0,0,2.27
"6","Mashonaland West",161,40.37,59.63,3.11,11.8,40.99,22.98,7.73,51749.81,52101.8,"small",59.01,40.99,68.32,26.71,4.97,3.11,18.01,21.12,6.83,30.43,0,2.48,0.62,2.48,0.62,5.59,0,2.48,0.62,3.73,0.62,1.86,0.62,1.86,33.54,"1 day /same day service",60.87,"1 day /same day service",40.99,37.27,33.54,31.68,5.59,40.99,75.78,6.83,19.25,19.88,42.86,28.57,2.48,1.24,2.48,0.62,1.24,1.86,83.85,6.83,27.33,17.39,10.56,31.68,13.04,0,1.24,1.24,2.48,1.24,0.62
"7","Masvingo",154,50,50,3.9,24.03,9.74,29.87,3.73,23095.62,9926.45,"micro",60.39,39.61,74.03,25.32,0.65,3.25,7.79,8.44,0,22.73,0,1.95,0.65,3.25,1.95,0.65,0,1.3,0,1.95,1.3,1.95,6.49,2.6,17.53,"2 to 3 days",37.01,"2 to 3 days",11.69,23.38,19.48,24.68,1.3,81.82,70.78,1.95,5.84,1.95,24.03,3.9,9.09,0,9.74,0,0,1.3,59.74,3.9,5.19,4.55,12.99,4.55,14.29,0,22.73,22.73,1.3,1.3,0
"8","Matabeleland North",143,37.06,62.94,10.49,44.76,18.88,22.38,4.6,23894.06,12073.73,"micro",60.14,39.86,72.03,25.87,2.1,0,31.47,7.69,0.7,37.76,1.4,1.4,0.7,2.8,0.7,0.7,2.8,1.4,0.7,0,2.1,8.39,2.1,0.7,37.76,"2 to 3 days",84.62,"1 day /same day service",2.1,51.75,31.47,13.99,11.89,16.78,90.91,0.7,6.29,4.2,0.7,0.7,3.5,0,4.2,0.7,0.7,0,90.91,0.7,6.29,5.59,0.7,4.2,8.39,0.7,3.5,3.5,0,0,0
"9","Matabeleland South",139,36.69,63.31,7.91,29.5,16.55,31.65,13.44,228082.73,85287.58,"small",67.63,32.37,58.27,28.78,12.95,1.44,46.76,11.51,7.91,10.79,0,6.47,0,2.88,0.72,0,0,7.19,0.72,3.6,2.88,6.47,3.6,0,56.83,"1 day /same day service",39.57,"1 day /same day service",3.6,69.78,59.71,25.9,12.23,43.17,85.61,3.6,7.19,0.72,12.95,7.91,7.91,5.04,0,0,1.44,0.72,84.89,7.19,5.76,0.72,5.76,5.76,4.32,3.6,2.16,2.16,0,0,0
"10","Midlands",125,36,64,3.2,32,20.8,35.2,7.22,19259.94,10438.44,"small",70.4,29.6,76.8,20.8,2.4,0.8,28.8,5.6,4.8,14.4,1.6,4,3.2,4,4,0,0,1.6,2.4,3.2,1.6,2.4,3.2,3.2,24.8,"2 to 3 days",16.8,"1 day /same day service",4,52.8,28,9.6,5.6,38.4,78.4,2.4,18.4,6.4,16,4.8,10.4,1.6,1.6,0,1.6,0,87.2,0.8,8,1.6,4,8,12.8,0,2.4,2.4,1.6,0,0
