"","province","n","funds_start_value","funds_ongoing_value","frequency_bank_account_value","number_bank_services_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","investments_value","usage_score","usage_normalise","usage_percentage"
"1","Bulawayo",128,0.328125,0.375,0.945454545454546,0.545454545454546,0.333333333333333,0.1875,0.239130434782609,0.217391304347826,0.239130434782609,0.95,0,0.4296875,4.79020709815547,0.399183924846289,39.92
"2","Harare",155,0.175324675324675,0.180645161290323,0.979411764705882,0.583333333333333,0.3,0.174193548387097,0.185185185185185,0.259259259259259,0.574074074074074,0.968807339449541,0.018348623853211,0.193548387096774,4.59213135195936,0.38267761266328,38.27
"3","Manicaland",151,0.32,0.33112582781457,0.875862068965517,0.543859649122807,0.428571428571429,0.158940397350993,0.344827586206897,0.396551724137931,0.413793103448276,0.920408163265306,0.11340206185567,0.450331125827815,5.29767313656721,0.441472761380601,44.15
"4","Mashonaland Central",111,0.100917431192661,0.189189189189189,0.96,0.518518518518518,1,0.18018018018018,0.401785714285714,0.03125,0.0669642857142857,0.954545454545454,0.105263157894737,0.585585585585586,5.09419951710633,0.424516626425527,42.45
"5","Mashonaland East",132,0.358778625954198,0.462121212121212,0.964912280701754,0.633333333333333,0,0.106060606060606,0.325,0.375,0.325,0.96697247706422,0.073394495412844,0.636363636363636,5.22693666701181,0.435578055584317,43.56
"6","Mashonaland West",162,0.447204968944099,0.530864197530864,0.970909090909091,0.5,0.5,0.0925925925925926,0.275098039215686,0.664313725490196,0.408039215686274,0.973469387755102,0.0721649484536082,0.382716049382716,5.81737221596023,0.484781017996686,48.48
"7","Masvingo",154,0.258278145695364,0.441558441558442,0.977777777777778,0.375,0.5,0.116883116883117,0.105263157894737,0.342105263157895,0.236842105263158,0.982456140350877,0.087719298245614,0.246753246753247,4.67063669358023,0.389219724465019,38.92
"8","Matabeleland North",144,0.125,0.173611111111111,0.909090909090909,0.41025641025641,NA,0.166666666666667,0.3,0.25,0.35,0.963636363636364,0,0.0902777777777778,NA,NA,NA
"9","Matabeleland South",139,0.18705035971223,0.165467625899281,0.967088607594937,0.611111111111111,0.2,0.129496402877698,0.361111111111111,0.111111111111111,0.375,0.956363636363636,0,0.37410071942446,4.43790068520558,0.369825057100465,36.98
"10","Midlands",126,0.245901639344262,0.238095238095238,0.929032258064516,0.545454545454546,0.5,0.0793650793650794,0.128787878787879,0.477272727272727,0.257575757575758,0.904761904761905,0.0952380952380952,0.222222222222222,4.62370734618223,0.385308945515186,38.53
